1,Pelvic Cancer Healing | TB Joshua,tzZm6kyjYVk,2012-12-10T15:03:20+00:00,0:05:58
2,Addicted To Eating Moth Balls - Delivered Through Anointing Water,hiYM5ruQT1I,2013-01-14T14:10:38+00:00,0:07:27
3,ACTING ON THE WORD - Sermon - Prophet TB Joshua,VdJPpzUJqTs,2013-01-14T14:11:11+00:00,0:22:02
4,"Addicted to Eating Stones, Chalk, and Paper",9c5OYKhFfVU,2013-01-14T14:13:51+00:00,0:11:45
5,PRAYER For God's MERCY And FAVOUR | TB Josua,MP6q7jEf8kU,2013-01-14T16:21:24+00:00,0:08:57
6,Begin To Free Yourself From That Bondage!   Prayer With Prophet TB Joshua,cKWlHo9nSgI,2013-01-14T17:29:42+00:00,0:11:35
7,BREAK EVERY DEMONIC INFLUENCE!!! - Prayer with Prophet TB Joshua,OU0vlMrQyKk,2013-01-14T18:00:06+00:00,0:02:19
8,BREAK EVERY COVENANT WITH DEMONS!!! Prayer with TB Joshua,ZIAllVAi0g0,2013-01-14T18:00:55+00:00,0:02:58
9,BREAKTHROUGH!! - Prayer with Prophet TB Joshua,C28GM6pitRw,2013-01-14T18:05:12+00:00,0:03:05
10,BREAK THE HOLD OF SATAN ON YOUR LIFE NOW!!! - Prayer with Prophet TB Joshua,1IQHTMtuUQg,2013-01-14T18:05:42+00:00,0:08:18
11,Broken Leg Healed by Watching Emmanuel TV   YOU TOO CAN RECEIVE BY WATCHING THIS!!!,tT5hSPcCZY0,2013-01-14T18:13:30+00:00,0:08:51
12,Death of Zambian President Levy Mwanawasa Prophesied by Prophet TB Joshua,N3Ca-MRdDNw,2013-01-14T20:05:15+00:00,0:14:56
13,DON'T GIVE UP!!! - Prayer with Prophet TB Joshua,7MYAS9Y1tWw,2013-01-14T21:40:04+00:00,0:04:06
14,DRAMATIC MANIFESTATION OF A DEMONIC SPIRIT,AlGkNSAD7UY,2013-01-14T21:46:50+00:00,removed
15,EXCLUSIVE INTERVIEW with WINNIE MANDELA!!!,EiKOJjuhgLo,2013-01-14T23:08:06+00:00,0:16:55
16,Man TURNS Into ANIMAL In CHURCH!,QF-vKrYyqOY,2013-01-14T23:47:57+00:00,1:32:49
17,From Glory to Glory - Prayer With Prophet TB Joshua,2Nkr6Y4uo90,2013-01-15T00:13:01+00:00,0:01:29
18,"""TB JOSHUA Prophesied My Victory!!!"" | PRESIDENT ATTA MILLS OF GHANA",VifKmCFBXac,2013-01-15T00:55:34+00:00,0:34:08
19,IN GOD'S FAVOUR & MERCY YOU ARE INCLUDED - Prayer with Prophet T.B. Joshua,D2puWFIOh3g,2013-01-15T03:58:22+00:00,0:11:15
20,Indonesia Crusade - Graha Bethany Church,SnfHD-f9oaU,2013-01-15T05:11:24+00:00,1:45:04
21,It Is Gods Will - Prayer With Prophet TB Joshua,Wd_Xn781qoc,2013-01-15T06:12:47+00:00,removed
22,INDONESIA CRUSADE with TB Joshua - Day 2,ws3tjSw9nvY,2013-01-15T06:12:51+00:00,2:38:53
23,Joyce Banda Speaks On TB Joshua,tgmv8vTMuWw,2013-01-15T11:11:43+00:00,0:12:43
24,Michael Jackson Death PROPHECY - TB JOSHUA (2009),wRnAbFgAefk,2013-01-15T12:06:08+00:00,1:18:11
25,Miss Tourism Zimbabwe Receives Prophecy From Prophet TB Joshua,frJ813xiX7A,2013-01-15T12:10:04+00:00,0:09:01
26,"T.B. Joshua Documentary - ""THIS IS MY STORY""",0Hz34DULV8M,2013-01-15T12:45:00+00:00,1:10:10
27,NO MORE CONDEMNATION! - Pray Along with Prophet TB Joshua,YEXQpv05ZdY,2013-01-15T13:15:32+00:00,0:08:55
28,Now Is The Moment To Release You - Prayer With Prophet TB Joshua,q4GghZ-1yW8,2013-01-15T13:20:59+00:00,0:03:29
29,OH LORD HELP ME TO LIVE BY FAITH! - Pray Along with Prophet TB Joshua,i8eQeOuEQ0M,2013-01-15T13:23:11+00:00,0:04:06
30,HERE is the PROOF that PRAYER on TV WORKS!!!,YQ97jdSzb_0,2013-01-15T16:37:59+00:00,0:09:21
31,POSSESSED By Dancing SERPENT Spirit!,2zOOrEYGCXY,2013-01-15T17:32:40+00:00,0:10:07
32,PRAYER FOR VIEWERS With TB Joshua!!!,gosEg9dXrE8,2013-01-15T17:55:00+00:00,0:02:55
33,President of Zambia Fedrick Chiluba visits TB Joshua,22-5ZU8Rh6E,2013-01-15T18:00:20+00:00,0:05:17
34,PRINCESS DIANA'S DEATH Predicted By Prophet T.B. Joshua!,yipzPR-WrQ4,2013-01-15T18:03:02+00:00,0:05:38
35,RECEIVE THAT BREAKTHROUGH!!!   Pray Along with Prophet TB Joshua,nkLr5lTcWZE,2013-01-15T19:24:44+00:00,0:05:55
36,DEMON-POSSESSED GERMAN MAN FIGHTS BACK!!!,Wzv8LdPpuw8,2013-01-15T21:29:57+00:00,0:12:20
37,SEVERE Leg Ulcer Healed,4KbSCqIlNns,2013-01-15T21:33:47+00:00,0:07:29
38,SPIRITUAL WARFARE!!! Demon Vs Pastor,Pbpp4vyfTZM,2013-01-15T22:14:12+00:00,0:12:41
39,TOUCHING: Why TB Joshua Returned This Man's TITHES!,6O_CY_Cw_2c,2013-01-16T00:02:56+00:00,0:10:58
40,TB JOSHUA PRAYER FOR VIEWERS   YOUR LIMITATIONS ARE YOUR OPPORTUNITIES!,tBj5pJEfILk,2013-01-16T00:20:17+00:00,0:02:07
41,TB JOSHUA'S ACCUSERS EXPOSED! Part 1,gLbqgGDwSgo,2013-01-16T00:43:04+00:00,0:24:41
42,The Man At The Beautiful Gate | Crippled Man Walks Instantly | TB Joshua,Lj4WtEfNADg,2013-01-16T02:00:23+00:00,0:10:15
43,The Right Hand of God is Power   Pray Along with Prophet TB Joshua,eZmkNFyZgvI,2013-01-16T02:22:06+00:00,0:01:23
44,FREE YOURSELF FROM THAT BONDAGE! | Pray With TB Joshua,8WNfY_TpM7U,2013-01-16T02:45:14+00:00,0:08:52
45,"""What Can CLEANSE You?"" | MASS PRAYER With Prophet TB Joshua!",hPLgE-ui-Do,2013-01-16T03:30:01+00:00,0:12:42
46,WHEN TO SAY NO AND WHEN TO ANSWER YES!   Pray Along With Prophet TB Joshua,Hi2wcL6vpg0,2013-01-16T03:33:06+00:00,0:04:09
47,Where Can You Go From His Presence   Prayer With Prophet TB Joshua,1ZnOKi-OQdM,2013-01-16T03:34:08+00:00,0:03:12
48,With His Power Nothing Is Impossible   Prayer With Prophet TB Joshua,7_AuxVYqRsM,2013-01-16T03:46:09+00:00,0:10:01
49,How Demons Made Me Fat! POWERFUL DELIVERANCE,xSUI0bc2i7s,2013-01-16T04:03:28+00:00,0:16:10
50,Woman Sees JESUS CHRIST In Church!!!,pFuaPwuP9eQ,2013-01-16T04:13:43+00:00,0:26:54
51,BANJIR INDONESIA Dinubuatkan oleh Nabi T.B. Joshua,yEz2KeNNsPw,2013-01-21T02:43:59+00:00,0:09:08
52,REVIVAL! | Pray Along With Prophet TB Joshua,L37F8S-QPXk,2013-01-22T17:20:23+00:00,0:02:29
53,Beware of Fraudsters | SCOAN,p9BDyxQowYQ,2013-01-22T17:52:14+00:00,0:24:18
54,Defeat and Disgrace the Prophets of Baal! | Pray with TB Joshua,kqcf-uX6Rk0,2013-01-22T18:05:09+00:00,0:04:25
55,Bullet Proof Fighting Machine | Deliverance,XZ3iGw5F6i4,2013-01-22T18:06:05+00:00,0:17:13
56,"THE RESTORER, THE REPAIRER, THE ROADMAP - Prayer with TB Joshua",IKa-J0CjN2k,2013-01-30T02:39:18+00:00,0:02:35
57,JESUS WAS RAISED FROM DEATH FOR US! - Pray Along with TB Joshua,Nln8ysovGmk,2013-02-04T20:11:00+00:00,0:01:47
58,I SHOULD RESCUE YOU - Pray With Prophet TB Joshua,p4KMRTYiLW8,2013-02-05T11:07:14+00:00,0:01:35
59,Lucifer’s Agent Speaks About FACEBOOK!,IS5pWiaiyh0,2013-02-08T11:24:56+00:00,0:38:27
60,All Nations Prayer with Prophet T.B. Joshua,_jseNdVEKkw,2013-02-13T15:41:57+00:00,0:15:10
