1,Pelvic Cancer Healing | TB Joshua,tzZm6kyjYVk
2,Addicted To Eating Moth Balls - Delivered Through Anointing Water,hiYM5ruQT1I
3,ACTING ON THE WORD - Sermon - Prophet TB Joshua,VdJPpzUJqTs
4,"Addicted to Eating Stones, Chalk, and Paper",9c5OYKhFfVU
5,PRAYER For God's MERCY And FAVOUR | TB Josua,MP6q7jEf8kU
6,Begin To Free Yourself From That Bondage!   Prayer With Prophet TB Joshua,cKWlHo9nSgI
7,BREAK EVERY DEMONIC INFLUENCE!!! - Prayer with Prophet TB Joshua,OU0vlMrQyKk
8,BREAK EVERY COVENANT WITH DEMONS!!! Prayer with TB Joshua,ZIAllVAi0g0
9,BREAKTHROUGH!! - Prayer with Prophet TB Joshua,C28GM6pitRw
10,BREAK THE HOLD OF SATAN ON YOUR LIFE NOW!!! - Prayer with Prophet TB Joshua,1IQHTMtuUQg
11,Broken Leg Healed by Watching Emmanuel TV   YOU TOO CAN RECEIVE BY WATCHING THIS!!!,tT5hSPcCZY0
12,Death of Zambian President Levy Mwanawasa Prophesied by Prophet TB Joshua,N3Ca-MRdDNw
13,DON'T GIVE UP!!! - Prayer with Prophet TB Joshua,7MYAS9Y1tWw
14,DRAMATIC MANIFESTATION OF A DEMONIC SPIRIT,AlGkNSAD7UY
15,EXCLUSIVE INTERVIEW with WINNIE MANDELA!!!,EiKOJjuhgLo
16,Man TURNS Into ANIMAL In CHURCH!,QF-vKrYyqOY
17,From Glory to Glory - Prayer With Prophet TB Joshua,2Nkr6Y4uo90
18,"""TB JOSHUA Prophesied My Victory!!!"" | PRESIDENT ATTA MILLS OF GHANA",VifKmCFBXac
19,IN GOD'S FAVOUR & MERCY YOU ARE INCLUDED - Prayer with Prophet T.B. Joshua,D2puWFIOh3g
20,Indonesia Crusade - Graha Bethany Church,SnfHD-f9oaU
21,It Is Gods Will - Prayer With Prophet TB Joshua,Wd_Xn781qoc
22,INDONESIA CRUSADE with TB Joshua - Day 2,ws3tjSw9nvY
23,Joyce Banda Speaks On TB Joshua,tgmv8vTMuWw
24,Michael Jackson Death PROPHECY - TB JOSHUA (2009),wRnAbFgAefk
25,Miss Tourism Zimbabwe Receives Prophecy From Prophet TB Joshua,frJ813xiX7A
26,"T.B. Joshua Documentary - ""THIS IS MY STORY""",0Hz34DULV8M
27,NO MORE CONDEMNATION! - Pray Along with Prophet TB Joshua,YEXQpv05ZdY
28,Now Is The Moment To Release You - Prayer With Prophet TB Joshua,q4GghZ-1yW8
29,OH LORD HELP ME TO LIVE BY FAITH! - Pray Along with Prophet TB Joshua,i8eQeOuEQ0M
30,HERE is the PROOF that PRAYER on TV WORKS!!!,YQ97jdSzb_0
31,POSSESSED By Dancing SERPENT Spirit!,2zOOrEYGCXY
32,PRAYER FOR VIEWERS With TB Joshua!!!,gosEg9dXrE8
33,President of Zambia Fedrick Chiluba visits TB Joshua,22-5ZU8Rh6E
34,PRINCESS DIANA'S DEATH Predicted By Prophet T.B. Joshua!,yipzPR-WrQ4
35,RECEIVE THAT BREAKTHROUGH!!!   Pray Along with Prophet TB Joshua,nkLr5lTcWZE
36,DEMON-POSSESSED GERMAN MAN FIGHTS BACK!!!,Wzv8LdPpuw8
37,SEVERE Leg Ulcer Healed,4KbSCqIlNns
38,SPIRITUAL WARFARE!!! Demon Vs Pastor,Pbpp4vyfTZM
39,TOUCHING: Why TB Joshua Returned This Man's TITHES!,6O_CY_Cw_2c
